AL,1983,2,114.31
AL,1983,3,116.64
AL,1983,4,113.56
AL,1984,1,123.38
AL,1984,2,119.93
AL,1984,3,124.61
AL,1984,4,120.98
AL,1985,1,121.17
AL,1985,2,124.39
AL,1985,3,127.14
AL,1985,4,127.95
AL,1986,1,129.29
AL,1986,2,131.67
AL,1986,3,133.10
AL,1986,4,135.72
AL,1987,1,137.85
AL,1987,2,138.90
AL,1987,3,139.46
AL,1987,4,138.11
AL,1988,1,141.75
AL,1988,2,142.85
AL,1988,3,142.51
AL,1988,4,141.04
AL,1989,1,141.27
AL,1989,2,143.15
AL,1989,3,145.28
AL,1989,4,146.34
AL,1990,1,145.26
AL,1990,2,146.45
AL,1990,3,147.09
AL,1990,4,147.20
AL,1991,1,148.49
AL,1991,2,150.67
AL,1991,3,151.51
AL,1991,4,153.98
AL,1992,1,155.23
AL,1992,2,155.40
AL,1992,3,158.34
AL,1992,4,159.69
AL,1993,1,160.76
AL,1993,2,162.51
AL,1993,3,165.40
AL,1993,4,166.86
AL,1994,1,167.94
AL,1994,2,169.98
AL,1994,3,170.69
AL,1994,4,170.80
AL,1995,1,172.40
AL,1995,2,175.81
AL,1995,3,178.59
AL,1995,4,179.96
AL,1996,1,183.11
AL,1996,2,183.10
AL,1996,3,183.44
AL,1996,4,185.60
AL,1997,1,187.70
AL,1997,2,188.96
AL,1997,3,191.86
AL,1997,4,194.33
AL,1998,1,197.57
AL,1998,2,199.08
AL,1998,3,201.24
AL,1998,4,203.74
AL,1999,1,204.41
AL,1999,2,205.26
AL,1999,3,205.60
AL,1999,4,207.22
AL,2000,1,207.93
AL,2000,2,209.67
AL,2000,3,211.35
AL,2000,4,214.03
AL,2001,1,220.25
AL,2001,2,221.19
AL,2001,3,222.77
AL,2001,4,225.29
AL,2002,1,225.67
AL,2002,2,226.84
AL,2002,3,230.18
AL,2002,4,232.89
AL,2003,1,235.24
AL,2003,2,237.32
AL,2003,3,238.94
AL,2003,4,240.48
AL,2004,1,242.74
AL,2004,2,244.30
AL,2004,3,248.80
AL,2004,4,252.47
AL,2005,1,255.84
AL,2005,2,261.92
AL,2005,3,267.40
AL,2005,4,272.87
AL,2006,1,278.29
AL,2006,2,282.92
AL,2006,3,287.45
AL,2006,4,292.94
AL,2007,1,294.87
AL,2007,2,298.97
AL,2007,3,299.71
AL,2007,4,301.95
AL,2008,1,303.88
AL,2008,2,302.69
AL,2008,3,300.40
AL,2008,4,301.94
AL,2009,1,304.13
AL,2009,2,300.84
AL,2009,3,293.75
AL,2009,4,292.80
AL,2010,1,288.63
AL,2010,2,284.27
AL,2010,3,288.12
AL,2010,4,285.71
AL,2011,1,278.18
AL,2011,2,274.50
AL,2011,3,276.61
AL,2011,4,278.76
AL,2012,1,275.85
AL,2012,2,273.96
AL,2012,3,275.85
AL,2012,4,276.37
AL,2013,1,273.59
AL,2013,2,274.21
AL,2013,3,273.67
AL,2013,4,272.58
AL,2014,1,274.28
AL,2014,2,274.89
AL,2014,3,277.94
AL,2014,4,279.30
AL,2015,1,282.28
AL,2015,2,283.00
AL,2015,3,284.70
AL,2015,4,286.55
AL,2016,1,287.30
AL,2016,2,291.36
AL,2016,3,295.88
AL,2016,4,294.88
AL,2017,1,296.43
AL,2017,2,300.10
AL,2017,3,302.89
AL,2017,4,304.81
AL,2018,1,308.20
AL,2018,2,312.73
AL,2018,3,315.80
AL,2018,4,316.32
AL,2019,1,322.18
AL,2019,2,326.71
AL,2019,3,331.46
AL,2019,4,335.36
AL,2020,1,339.24
AL,2020,2,344.14
AL,2020,3,350.74
AL,2020,4,358.16
AL,2021,1,365.59
AL,2021,2,382.64
AL,2021,3,404.36
AL,2021,4,420.90
AL,2022,1,432.92
AL,2022,2,457.47
AL,2022,3,470.85
AL,2022,4,471.38
AL,2023,1,476.51
AL,2023,2,485.75
AL,2023,3,496.88
AL,2023,4,494.24
AL,2024,1,502.48
AL,2024,2,515.15
AL,2024,3,521.27
AL,2024,4,526.58
AR,1975,1,66.53
AR,1975,2,60.25
AR,1975,3,64.90
AR,1975,4,62.90
AR,1976,1,66.90
AR,1976,2,68.54
AR,1976,3,70.95
AR,1976,4,72.11
AR,1977,1,72.86
AR,1977,2,74.88
AR,1977,3,78.23
AR,1977,4,80.92
AR,1978,1,80.89
AR,1978,2,83.43
AR,1978,3,86.07
AR,1978,4,86.11
AR,1979,1,91.71
AR,1979,2,94.75
AR,1979,3,99.28
AR,1979,4,101.44
AR,1980,1,100.00
AR,1980,2,100.80
AR,1980,3,106.58
AR,1980,4,108.66
AR,1981,1,109.51
AR,1981,2,106.26
AR,1981,3,108.89
AR,1981,4,103.17
AR,1982,1,102.46
AR,1982,2,105.92
AR,1982,3,110.81
AR,1982,4,108.42
AR,1983,1,113.02
AR,1983,2,116.21
AR,1983,3,117.85
AR,1983,4,118.15
AR,1984,1,120.12
AR,1984,2,118.68
AR,1984,3,119.30
AR,1984,4,120.84
AR,1985,1,120.91
AR,1985,2,119.66
AR,1985,3,123.76
AR,1985,4,124.11
AR,1986,1,125.29
AR,1986,2,128.38
AR,1986,3,126.39
AR,1986,4,128.02
AR,1987,1,128.86
AR,1987,2,130.38
AR,1987,3,127.39
AR,1987,4,123.85
